,lrs,sig0,frac,popsize,mean_acc,std_acc
98,1.5,0.5235987755982988,0.1,50.0,0.8800000000000001,0.07483314773547882
99,1.5,0.5235987755982988,0.1,60.0,0.8800000000000001,0.09797958971132714
100,1.5,0.5235987755982988,0.25,30.0,0.8,0.16733200530681513
101,1.5,0.5235987755982988,0.25,40.0,0.76,0.12000000000000002
102,1.5,0.5235987755982988,0.25,50.0,0.9399999999999998,0.04898979485566355
103,1.5,0.5235987755982988,0.25,60.0,0.9,0.12649110640673517
104,1.5,0.5235987755982988,0.5,30.0,0.8200000000000001,0.11661903789690603
105,1.5,0.5235987755982988,0.5,40.0,0.8800000000000001,0.07483314773547882
106,1.5,0.5235987755982988,0.5,50.0,0.8,0.10954451150103323
107,1.5,0.5235987755982988,0.5,60.0,0.8600000000000001,0.10198039027185571
108,1.5,0.7853981633974483,0.1,30.0,0.82,0.07483314773547885
109,1.5,0.7853981633974483,0.1,40.0,0.8600000000000001,0.04898979485566355
110,1.5,0.7853981633974483,0.1,50.0,0.8,0.10954451150103323
111,1.5,0.7853981633974483,0.1,60.0,0.82,0.11661903789690603
112,1.5,0.7853981633974483,0.25,30.0,0.8800000000000001,0.0748331477354788
113,1.5,0.7853981633974483,0.25,40.0,0.8400000000000001,0.10198039027185571
114,1.5,0.7853981633974483,0.25,50.0,0.8399999999999999,0.10198039027185571
115,1.5,0.7853981633974483,0.25,60.0,0.82,0.13266499161421602
116,1.5,0.7853981633974483,0.5,30.0,0.72,0.17204650534085256
117,1.5,0.7853981633974483,0.5,40.0,0.7,0.1264911064067352
118,1.5,0.7853981633974483,0.5,50.0,0.8200000000000001,0.11661903789690603
119,1.5,0.7853981633974483,0.5,60.0,0.7799999999999999,0.07483314773547886
120,1.5,1.0,0.1,30.0,0.8,0.20976176963403032
121,1.5,1.0,0.1,40.0,0.74,0.08000000000000003
122,1.5,1.0,0.1,50.0,0.8,0.10954451150103323
123,1.5,1.0,0.1,60.0,0.86,0.1356465996625054
124,1.5,1.0,0.25,30.0,0.76,0.20591260281974003
125,1.5,1.0,0.25,40.0,0.8200000000000001,0.09797958971132713
126,1.5,1.0,0.25,50.0,0.8,0.10954451150103324
127,1.5,1.0,0.25,60.0,0.8,0.10954451150103324
128,1.5,1.0,0.5,30.0,0.8400000000000001,0.13564659966250536
129,1.5,1.0,0.5,40.0,0.8800000000000001,0.11661903789690602
130,1.5,1.0,0.5,50.0,0.54,0.13564659966250533
131,1.5,1.0,0.5,60.0,0.68,0.07483314773547885
132,1.5,1.5707963267948966,0.1,30.0,0.6799999999999999,0.13266499161421602
133,1.5,1.5707963267948966,0.1,40.0,0.76,0.10198039027185572
134,1.5,1.5707963267948966,0.1,50.0,0.72,0.07483314773547886
135,1.5,1.5707963267948966,0.1,60.0,0.66,0.17435595774162696
136,1.5,1.5707963267948966,0.25,30.0,0.76,0.16248076809271922
137,1.5,1.5707963267948966,0.25,40.0,0.72,0.17204650534085256
138,1.5,1.5707963267948966,0.25,50.0,0.9,0.08944271909999157
139,1.5,1.5707963267948966,0.25,60.0,0.86,0.04898979485566354
140,1.5,1.5707963267948966,0.5,30.0,0.76,0.08000000000000003
141,1.5,1.5707963267948966,0.5,40.0,0.68,0.11661903789690603
142,1.5,1.5707963267948966,0.5,50.0,0.6399999999999999,0.2154065922853802
143,1.5,1.5707963267948966,0.5,60.0,0.9,0.08944271909999157
