,lrs,sig0,frac,popsize,mean_acc,std_acc
0,0.5,0.5235987755982988,0.1,30.0,0.8,0.17888543819998318
1,0.5,0.5235987755982988,0.1,40.0,0.8200000000000001,0.11661903789690603
2,0.5,0.5235987755982988,0.1,50.0,0.9199999999999999,0.07483314773547882
3,0.5,0.5235987755982988,0.1,60.0,0.9400000000000001,0.04898979485566354
4,0.5,0.5235987755982988,0.25,30.0,0.82,0.18330302779823363
5,0.5,0.5235987755982988,0.25,40.0,0.86,0.04898979485566354
6,0.5,0.5235987755982988,0.25,50.0,0.86,0.04898979485566354
7,0.5,0.5235987755982988,0.25,60.0,0.68,0.09797958971132713
8,0.5,0.5235987755982988,0.5,30.0,0.76,0.16248076809271922
9,0.5,0.5235987755982988,0.5,40.0,0.82,0.09797958971132716
10,0.5,0.5235987755982988,0.5,50.0,0.7400000000000001,0.10198039027185572
11,0.5,0.5235987755982988,0.5,60.0,0.76,0.10198039027185572
12,0.5,0.7853981633974483,0.1,30.0,0.8,0.20976176963403032
13,0.5,0.7853981633974483,0.1,40.0,0.82,0.13266499161421602
14,0.5,0.7853981633974483,0.1,50.0,0.8,0.1264911064067352
15,0.5,0.7853981633974483,0.1,60.0,0.8200000000000001,0.1469693845669907
16,0.5,0.7853981633974483,0.25,30.0,0.7599999999999999,0.14966629547095767
17,0.5,0.7853981633974483,0.25,40.0,0.64,0.16248076809271922
18,0.5,0.7853981633974483,0.25,50.0,0.6799999999999999,0.20396078054371142
19,0.5,0.7853981633974483,0.25,60.0,0.6399999999999999,0.07999999999999999
20,0.5,0.7853981633974483,0.5,30.0,0.8000000000000002,0.14142135623730953
21,0.5,0.7853981633974483,0.5,40.0,0.9,0.08944271909999157
22,0.5,0.7853981633974483,0.5,50.0,0.64,0.10198039027185571
23,0.5,0.7853981633974483,0.5,60.0,0.74,0.12000000000000002
24,0.5,1.0,0.1,30.0,0.8400000000000001,0.12000000000000002
25,0.5,1.0,0.1,40.0,0.8200000000000001,0.07483314773547885
26,0.5,1.0,0.1,50.0,0.8,0.16733200530681513
27,0.5,1.0,0.1,60.0,0.9,0.0
28,0.5,1.0,0.25,30.0,0.76,0.17435595774162696
29,0.5,1.0,0.25,40.0,0.78,0.17204650534085256
30,0.5,1.0,0.25,50.0,0.82,0.07483314773547885
31,0.5,1.0,0.25,60.0,0.6599999999999999,0.13564659966250536
32,0.5,1.0,0.5,30.0,0.8800000000000001,0.11661903789690602
33,0.5,1.0,0.5,40.0,0.8,0.10954451150103323
34,0.5,1.0,0.5,50.0,0.6599999999999999,0.17435595774162696
35,0.5,1.0,0.5,60.0,0.7,0.1788854381999832
36,0.5,1.5707963267948966,0.1,30.0,0.8399999999999999,0.1356465996625054
37,0.5,1.5707963267948966,0.1,40.0,0.8,0.10954451150103323
38,0.5,1.5707963267948966,0.1,50.0,0.76,0.14966629547095767
39,0.5,1.5707963267948966,0.1,60.0,0.72,0.2227105745132009
40,0.5,1.5707963267948966,0.25,30.0,0.6599999999999999,0.10198039027185571
41,0.5,1.5707963267948966,0.25,40.0,0.76,0.233238075793812
42,0.5,1.5707963267948966,0.25,50.0,0.6799999999999999,0.20396078054371142
43,0.5,1.5707963267948966,0.25,60.0,0.9199999999999999,0.07483314773547882
44,0.5,1.5707963267948966,0.5,30.0,0.76,0.1356465996625054
45,0.5,1.5707963267948966,0.5,40.0,0.76,0.10198039027185572
46,0.5,1.5707963267948966,0.5,50.0,0.6,0.1414213562373095
47,0.5,1.5707963267948966,0.5,60.0,0.6599999999999999,0.04898979485566354
48,1.0,0.5235987755982988,0.1,30.0,0.86,0.10198039027185571
49,1.0,0.5235987755982988,0.1,40.0,0.8600000000000001,0.04898979485566355
50,1.0,0.5235987755982988,0.1,50.0,0.82,0.03999999999999999
51,1.0,0.5235987755982988,0.1,60.0,0.8,0.0894427190999916
